,user,topic0,topic1,topic2,topic3,cluster
0,ProducerKyle,112,118,113,128,0
0,NShafeiEN,16,23,26,26,1
0,gtoppo,116,120,116,93,0
0,BraveheartsFC,77,86,90,92,0
0,drseisenberg,126,119,112,125,0
0,HiwaAfandi,100,114,102,93,0
0,Achta_M_Saleh,4,5,6,3,1
0,AwesomeMonsieur,111,116,92,108,0
0,NphcdaNG,131,117,116,127,0
0,CGPriceisRight,15,4,10,11,1
0,npower_ng,104,121,133,136,0
0,savechildrenuk,124,126,129,125,0
0,MaxxyB,110,115,100,105,0
0,dostoyevsky_j,126,129,111,118,0
0,NHSMillion,132,126,116,122,0
0,keeya_lee,131,116,104,99,0
0,MBabaShehuri,14,14,19,17,1
0,lipiroy,119,124,115,113,0
0,PScotlandCSG,113,114,125,146,0
0,CDCgov,120,124,133,122,0
0,satyanadella,135,114,128,126,0
0,JHuertaK5,98,111,116,106,0
0,TymberleeHill,97,108,116,94,0
0,Giftsthatgive,136,130,119,116,0
0,opsoniteblue,87,123,102,105,0
0,HQNigerianArmy,91,95,99,94,0
0,adrian_ttc,2,5,2,3,1
0,fccpcnigeria,107,115,103,112,0
0,kwestin,105,100,99,120,0
0,PibeValderramaP,0,0,0,1,1
0,inafried,105,105,120,125,0
0,Chikwe_I,127,132,108,130,0
0,FemAdesina,110,119,127,113,0
0,_LekanAdegbite,11,3,16,9,1
0,amandahite,114,109,100,123,0
0,NigeriaMFA,11,8,8,7,1
0,AU_PSD,98,103,116,109,0
0,HMKemiAdeosun,64,70,81,72,0
0,fmohnigeria,104,115,115,97,0
0,JaneONweze,111,116,122,116,0
0,a_salkida,3,2,1,1,1
0,BillClinton,111,130,136,112,0
0,gavi,85,127,116,125,0
0,rweingarten,117,130,122,122,0
0,CERN,118,122,118,128,0
0,dabiodunMFR,94,82,107,79,0
0,YinkaWrites,108,115,119,106,0
0,Pistachio,115,106,119,131,0
0,CanHCNigeria,129,106,115,126,0
0,BOINigeria,122,110,128,111,0
0,johngreen,126,113,141,114,0
0,annsaphir,122,99,150,119,0
0,usaid_info,100,121,123,121,0
0,JROB_2one,99,115,105,121,0
0,IHME_UW,120,113,108,111,0
0,DonorsChoose,121,123,137,117,0
0,NDCleanUp,15,12,12,13,1
0,NadiaForde,118,108,100,119,0
0,amjoyshow,133,127,109,134,0
0,TrevorNoahFdn,122,115,101,103,0
0,FastCompany,134,122,127,119,0
0,SHONIBARESTUDIO,121,113,135,126,0
0,FMHDSD,27,31,25,34,1
0,VicMontagliani,86,73,70,92,0
0,@Iceprincezamani,126,107,92,108,0
0,SenBornoCentral,1,2,0,0,1
0,cameron_tiff,122,118,113,97,0
0,MLS,108,104,129,125,0
0,alzassociation,136,113,122,132,0
0,ViiVHC,127,117,128,130,0
0,MbomboSeidou,5,6,3,3,1
0,CoryBooker,139,119,131,113,0
0,NanonoSabo,17,15,10,12,1
0,USAID,126,113,143,115,0
0,AVM_OA_Adesanya,135,127,109,102,0
0,eugenegu,119,124,127,134,0
0,AllanGolston,120,139,106,110,0
0,KBStGovt,101,110,131,112,0
0,WSUPUK,132,141,100,132,0
0,AndreasKosh,103,93,95,110,0
0,DrIsaPantami,2,5,2,2,1
0,CandiceKumai,120,112,139,121,0
0,TundeIrukera,133,122,111,118,0
0,Chibuogwu_N,106,107,106,131,0
0,DrJoyceBanda,84,79,69,85,0
0,RBlockMD,113,111,133,126,0
0,DrEmeruwa,114,128,119,105,0
0,wsoyinkacentre,96,94,107,97,0
0,Heifer,98,135,140,126,0
0,AfDB_Group,114,117,120,113,0
0,sgyemikale,106,132,121,124,0
0,candacefor24,82,97,94,99,0
0,powerminnigeria,29,36,41,42,1
0,karmichaelhunt,74,85,72,73,0
0,FCBayern,8,7,6,7,1
0,Fedfireng,103,112,109,123,0
0,SECNigeria,129,112,131,114,0
0,camanpour,141,109,122,126,0
0,MohdHAbdullahi,98,120,107,114,0
